Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,231,Ethiopia,5312,Area harvested,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2004,2004,ha,1440.0,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5412,Yield,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2004,2004,kg/ha,625.0,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5510,Production,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2004,2004,t,900.0,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5312,Area harvested,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2005,2005,ha,1600.0,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5412,Yield,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2005,2005,kg/ha,625.0,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5510,Production,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2005,2005,t,1000.0,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5312,Area harvested,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2006,2006,ha,1760.0,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5412,Yield,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2006,2006,kg/ha,625.0,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5510,Production,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2006,2006,t,1100.0,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5312,Area harvested,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2007,2007,ha,1920.0,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5412,Yield,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2007,2007,kg/ha,625.0,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5510,Production,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2007,2007,t,1200.0,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5312,Area harvested,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2008,2008,ha,2400.0,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5412,Yield,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2008,2008,kg/ha,625.0,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5510,Production,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2008,2008,t,1500.0,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5312,Area harvested,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2009,2009,ha,2960.0,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5412,Yield,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2009,2009,kg/ha,625.0,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5510,Production,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2009,2009,t,1850.0,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5312,Area harvested,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2010,2010,ha,3241.0,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,231,Ethiopia,5412,Yield,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2010,2010,kg/ha,687.5,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5510,Production,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2010,2010,t,2228.3,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,231,Ethiopia,5312,Area harvested,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2011,2011,ha,3565.0,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,231,Ethiopia,5412,Yield,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2011,2011,kg/ha,729.1,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5510,Production,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2011,2011,t,2599.26,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,231,Ethiopia,5312,Area harvested,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2012,2012,ha,3500.0,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5412,Yield,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2012,2012,kg/ha,800.0,E,Estimated value,
